policy,n_episodes,score_mean,score_stderr,scenario_mean,scenario_stderr
difficulty_increasing,200,0.454440733881265,0.003144961471468171,0.16168921896158778,0.0025403265134185935
prereq_respecting,200,0.4150778147309226,0.002896351780814627,0.15359260744203249,0.002435770134215157
random,200,0.45994911747704775,0.0030422145708199405,0.16672359056818487,0.002595206031042188
iql_score,100,0.34364436459951375,0.0012036182300476867,0.09660835874798292,0.0007291642177132437
iql_scenario,100,0.36212890606100695,0.0008530069446635684,0.10837915730498883,0.0007482932356205689
