policy,concept_entropy_mean,revisit_rate_mean,prereq_respect_mean,mean_difficulty_mean,first_hard_step_mean
difficulty_increasing,2.611045898432508,0.6918000000000001,0.2605,2.0399999999999996,32.0
prereq_respecting,1.8352070745265394,0.8490000000000001,1.0,2.0033,2.35
random,2.6014858198064292,0.6934,0.2561,2.0036,1.96
iql_scenario,0.8511430452502345,0.9194000000000001,1.0,1.6280000000000003,10.32
iql_score,0.5897319577822266,0.9327999999999997,1.0,1.4568,33.32
